Country,ISO3,Region,CPI score 2019,Rank,standard error ,Number of sources,Lower CI,Upper CI,African Development Bank CPIA,Bertelsmann Foundation Sustainable Governance Index,Bertelsmann Foundation Transformation Index,Economist Intelligence Unit Country Ratings,Freedom House Nations in Transit Ratings,Global Insight Country Risk Ratings,IMD World Competitiveness Yearbook,PERC Asia Risk Guide,PRS International Country Risk Guide,Varieties of Democracy Project,World Bank CPIA,World Economic Forum EOS,World Justice Project Rule of Law Index
Malawi,MWI,SSA,31,123,1.779217,9,28.08208,33.91792,36.77781,,32.8455,19.79276,,34.50329,,,32.41864,32.59359,26.78049,26.79191,34.68251
Azerbaijan,AZE,ECA,30,126,7.161777,7,18.25468,41.74532,,,28.85599,19.79276,20.74857,34.50329,,,23.70985,10.16803,,68.87907,
Djibouti,DJI,SSA,30,126,4.276603,5,22.98637,37.01363,26.5125,,24.86647,,,46.73721,,,,23.91273,26.78049,,
Kyrgyzstan,KGZ,ECA,30,126,2.540632,7,25.83336,34.16664,,,36.83502,,29.65079,34.50329,,,,17.40208,35.11188,26.26582,27.49628
Ukraine,UKR,ECA,30,126,2.380559,9,26.09588,33.90412,,,40.82453,19.79276,35.5856,22.45197,31.29339,,36.07633,23.18933,,29.77308,33.78424
Guinea,GIN,SSA,29,130,2.499444,8,24.90091,33.09909,26.5125,,36.83502,,,34.50329,,,23.70985,19.5723,26.78049,38.19052,22.10661
Laos,LAO,AP,29,130,4.995874,5,20.80677,37.19323,,,20.87696,,,34.50329,,,,18.12549,26.78049,45.73114,
Maldives,MDV,AP,29,130,2.569968,3,24.78525,33.21475,,,,,,34.50329,,,,26.80635,26.78049,,
Mali,MLI,SSA,29,130,2.620483,8,24.70241,33.29759,34.17318,,32.8455,,,34.50329,,,32.41864,23.91273,35.11188,18.54984,17.61522
Mexico,MEX,AME,29,130,1.725735,9,26.16979,31.83021,,34.91155,28.85599,37.26319,,22.45197,27.69813,,23.70985,32.59359,,32.05281,24.80145
